"",Dealer Name,Mailing & Business Address,City,County,Zip
84307,Benchtop Gunsmithing,41 Naylor Blue Court,Port Despoit,Cecil,21904
24923,Benelli USA Corporation,901 Eighth St,Pocomoke City,Worcester,21851
11016,Beretta USA Corp,17601 Beretta Dr,Accokeek,Prince George's,20607
54816,Best Pawn Inc.,6609 Riverdale Rd,Riverdale,Prince George's,20737
81406,"Big Dog's Gun Supplies, LLC",3503 Hooper Rd,New Windsor,Carroll,21776
18011,Bill's House of Guns,150 Short Run Rd,Kitzmiller,Garrett,21538
59609,BJ'S Firearms,2737 Hooper's Island Road P.O. Box 9,Fishing Creek,Dorchester,21634
87005,Black Anchor Armory,211 Market Street,Denton,Caroline,21629
68503,Blue Fins Bait and Tackle,701 Wise Ave,Baltimore,Baltimore County,21222
67319,Blue Heron Junction,28354 Crisfield Marion Hwy.,Marion Station,Somerset,21838
69418,Bob's Sunoco,20321 Piney Point Rd,Callaway,St. Mary's,20620
69106,Bollinger Gunsmithing & Sales LLC,4485 Piney Creek Rd,Taneytown,Carroll,21787
34012,Bowman Gun Shop,3322 Cedar Church Rd,Darlington,Harford,21034
57909,Bradford's Gun Repair,5609 Thompsontown Road,East New Market,Dorchester,21631
18106,Brownstone Trading Company,2029 N. Old Bachman Valley Rd,Westminster,Carroll,21157
58309,Bruce Hodgson Macsorley II,1620 Town Point,Cambridge,Dorchester,21613
82504,Bryan Dowell,"140 Dalrymple Rd, P.O. Box 113",Sunderland,Calvert,20689
64506,Buck Guns,6930 Sykesville Rd.,Sykesville,Carroll,21784
35108,CAF Enterprise,812 Brandon Rd,Waldorf,Charles,20602
11607,"Calvert Firearms, Inc.",1952 Turkey Point Rd,North East,Cecil,21901
90810,"Catalyst Syndicate, LLC",110 Main St,Myersville,Frederick,21773
65110,Catoctin Comp.,8106 Ashford Ct,Frederick,Frederick,21702
91712,CB Arms,3144 Sandy Hook Rd.,Street,Harford,21154
56517,Centreville Gunsmith,PO Box 1  213 Hope Road,Centreville,Queen Anne's,21617
73111,Charles Graham,1059 Wilson Corona Rd,Oakland,Garrett,21550
90709,"Charles W. Kelly, Jr.",113 B Brohawn Ave,Cambridge,Dorchester,21613
58017,Chesapeake Guns,208 Island Plaza Ct,Stevensville,Queen Anne's,21666
56812,Chesapeake Pawnbrokers,2012 Pulaski Highway,Edgewood,Harford,21040
79318,Chuck's Firearms,45589 Legerton Ln,Lexington Park,St. Mary's,20653
51612,Chuck's Gun Shop,1500 Aviemore Place,Bel Air,Harford,21015
90915,CipherLaw,7801 Cadbury Ave,Potomac,Montgomery,20854
6000,Clark's Sport Shop,3724 S. Hanover Street,Baltimore,Baltimore City,21225
303,"Clyde's Sport Shop, Inc.",2307 Hammonds Ferry Road,Lansdowne,Baltimore County,21227
92713,"Cobalt Research, LLC",7308 Silent Bird Court,Columbia,Howard,21046
6803,Continental Arms,9603 Deereco Road,Timonium,Baltimore County,21093
68812,Cooter's Classic Firearms,102 Industry Lane,Forest Hill,Harford,21050
68217,Corsica Sporting Goods,108 Bonds Rd.,Centreville,Queen Anne's,21617
60317,Crane Firearm Repair,23801 Bridgetown Rd,Henderson,Caroline,21617
84417,Creek Point Firearms,119 Lawyers Row,Centreville,Queen Anne's,21617
61618,Cromwell's Firearms,21591 Harrison St,Great Mills,St. Mary's,20634
92515,David Carter,23700 Pocahontas Dr.,Gaithersburg,Montgomery,20882
83708,"Defensive & Protective Solutions , LLC",8989 Hillary Ct.,Laplata,Charles,20646
85015,"DeMilt Associates, LLC",7935 Queenair Drive,Gaithersburg,Montgomery,20879
49615,DMB Traders,11259-B Lockwood Drive,Silver Spring,Montgomery,20901
11203,"Duffy's, Inc.",15433 Falls Road,Sparks,Baltimore County,21152
81703,"Dunbar Armored, Inc.",50 Schilling Road,Hunt Valley,Baltimore County,21031
85609,"Eagle Tactical, LLC",4636 Ocean Gateway,Vienna,Dorchester,21869
66013,Eakle Firearms Inc.,3275 Bethany Lane Suite 200,Ellicott City,Howard,21042
74410,"Early Out Enterprises, LLC.",413 Potomac View Pkwy,Frederick,Frederick,21716
1620,Edward Napoleon Nelson,3795 Ocean Gateway PO BOX 95,Trapp,Talbot,21673
91910,Edwards Outdoors. LLC.,7425 B Grove Rd.,Frederick,Frederick,21704
70509,Edwin Bramble,1614 Taylors Island Rd,Woolford,Dorchester,21677
